Country;Year;Total CO2 (including Land-Use Change and Forestry) (MtCO2);Total CH4 (including Land-Use Change and Forestry) (MtCO2e);Total N2O (including Land-Use Change and Forestry) (MtCO2e)
Rep. Korea (South);1994;327.812.636;2.321.123.375;1.626.091.884
Rep. Korea (South);1995;359.687.572;2.284.929.286;1.625.923.329
Rep. Korea (South);1996;386.472.908;2.329.804.712;164.908.744
Rep. Korea (South);1997;411.671.092;2.342.788.138;170.159.055
Rep. Korea (South);1998;347.801.442;2.333.557.564;1.666.789.661
Rep. Korea (South);1999;383.191.226;231.968.499;1.659.091.772
Rep. Korea (South);2000;437.177.634;2.309.496.416;1.657.928.883
Rep. Korea (South);2001;446.405.002;2.352.399.273;1.638.476.732
Rep. Korea (South);2002;44.226.226;239.446.613;1.638.234.581
Rep. Korea (South);2003;447.707.886;2.438.021.988;162.898.643
Rep. Korea (South);2004;466.806.094;2.501.272.845;168.476.828
Rep. Korea (South);2005;463.400.296;2.558.418.703;1.720.644.129
Rep. Korea (South);2006;4.712.268;2.612.020.024;1.714.215.748
Rep. Korea (South);2007;484.146.618;2.672.287.345;1.801.250.367
Rep. Korea (South);2008;49.529.297;2.727.350.667;1.825.367.986
Rep. Korea (South);2009;508.451.028;2.789.501.988;1.861.185.605
Rep. Korea (South);2010;556.022.836;2.846.769.309;1.920.381.224
Rep. Korea (South);2011;581.992.686;2.836.903.819;1.958.078.155
Rep. Korea (South);2012;5.853.058.196;2.876.545.329;2.065.755.085
Kuwait;1990;30.453.828;4.861.985.509;0.161122749
Kuwait;1991;36.170.262;5.551.085.378;0.079319193
Kuwait;1992;24.638.678;6.245.678.247;0.080855637
Kuwait;1993;31.290.452;6.941.824.117;0.125242081
Kuwait;1994;36.793.014;7.637.039.986;0.146608526
Kuwait;1995;37.962;8.332.721.855;0.16082497
Kuwait;1996;37.100.928;8.390.766.769;0.200513798
Kuwait;1997;38.149.018;8.447.797.682;0.198862627
Kuwait;1998;43.650.882;8.504.569.595;0.210431456
Kuwait;1999;4.818.841;8.562.191.508;0.231800285
Kuwait;2000;50.589.884;8.620.027.421;0.222269113
Kuwait;2001;5.443.045;8.992.490.623;0.251437327
Kuwait;2002;5.739.521;9.366.817.826;0.38679554
Kuwait;2003;61.738.512;9.740.203.028;0.266513754
Kuwait;2004;65.255.022;1.011.173.923;0.263601968
Kuwait;2005;72.941.998;1.048.350.243;0.567820181
Kuwait;2006;72.293.016;1.052.576.741;0.41460071
Kuwait;2007;71.650.056;1.056.738.039;0.263621239
Kuwait;2008;76.042.686;1.060.907.536;0.366971769
Kuwait;2009;82.826.298;1.065.115.934;0.289502298
Kuwait;2010;81.666.218;1.069.372.731;0.296532827
Kuwait;2011;86.220.574;1.071.527.393;0.298826309
Kuwait;2012;92.740.344;1.073.681.355;0.266519791
Kyrgyzstan;1990;;;
Kyrgyzstan;1991;;;
Kyrgyzstan;1992;136.896;539.009.552;2.046.655.616
Kyrgyzstan;1993;756.149;483.055.628;1.885.668.224
Kyrgyzstan;1994;3.999.776;421.663.704;1.665.590.832
Kyrgyzstan;1995;2.094.318;34.105.678;134.423.344
Kyrgyzstan;1996;3.263.176;320.578.984;1.302.311.952
Kyrgyzstan;1997;3.163.806;307.423.188;1.275.200.464
Kyrgyzstan;1998;3.487.964;305.862.392;1.323.918.976
Kyrgyzstan;1999;2.225.258;303.276.596;1.337.417.488
Kyrgyzstan;2000;2.102.392;3.005.728;1.355.476
Kyrgyzstan;2001;1.578.926;30.200.062;138.328
Kyrgyzstan;2002;2.557.638;30.442.044;1.273.654
Kyrgyzstan;2003;3.170.612;30.592.626;1.424.518
Kyrgyzstan;2004;3.154.972;30.424.508;1.405.272
Kyrgyzstan;2005;2.935.658;3.087.979;1.444.196
Kyrgyzstan;2006;-7.495.974;3.155.942.862;1.451.101.258
Kyrgyzstan;2007;-6.729.882;3.225.066.724;1.477.306.516
Kyrgyzstan;2008;-6.091.726;3.315.010.585;1.504.391.774
Kyrgyzstan;2009;-7.298.664;3.505.794.447;1.660.507.032
Kyrgyzstan;2010;-8.155.852;3.568.578.309;166.033.229
Kyrgyzstan;2011;-7.362.048;3.667.738.995;172.096.332
Kyrgyzstan;2012;-577.265;3.755.269.681;1.729.614.351
Laos;1990;22.170.866;5.984.348.435;2.072.682.538
Laos;1991;1.968.109;5.893.655.963;2.098.546.835
Laos;1992;19.708.708;6.061.603.491;2.191.771.132
Laos;1993;19.710.668;6.082.261.019;2.196.235.429
Laos;1994;19.730.958;6.324.788.548;2.268.969.726
Laos;1995;19.809.862;6.325.096.076;2.317.144.022
Laos;1996;19.940.072;638.186.844;2.346.880.594
Laos;1997;200.776;6.196.430.804;2.247.517.167
Laos;1998;20.156.504;7.311.483.168;2.698.723.739
Laos;1999;20.396.634;6.594.955.532;2.328.280.311
Laos;2000;2.041.325;6.209.587.896;2.163.166.883
Laos;2001;20.704.884;5.350.312.575;1.782.504.631
Laos;2002;20.977.754;6.227.327.254;2.143.942.379
Laos;2003;20.928.202;5.873.571.933;1.985.860.128
Laos;2004;21.219.402;8.607.776.612;3.191.167.876
Laos;2005;21.228.464;7.317.611.291;2.667.085.624
Laos;2006;25.121.714;6.230.881.938;2.176.656.987
Laos;2007;24.446.248;9.068.652.585;3.444.958.351
Laos;2008;24.444.958;6.193.583.231;2.164.839.714
Laos;2009;24.414.346;7.324.833.878;2.630.941.077
Laos;2010;24.662.198;1.085.231.452;417.326.244
Laos;2011;24.554.652;6.596.051.799;232.403.976
Laos;2012;2.493.821;8.317.199.073;301.752.708
Latvia;1990;;;
Latvia;1991;;;
Latvia;1992;19.146.466;3.881.616.503;2.800.618.491
Latvia;1993;2.262.204;341.161.237;2.508.020.604
Latvia;1994;0.596622;2.569.458.237;2.207.022.718
Latvia;1995;-0.707958;2.325.764.104;1.933.894.832
Latvia;1996;-0.699894;2.305.311.836;196.073.455
Latvia;1997;-1.282.828;2.238.199.567;1.964.674.269
Latvia;1998;-165.715;2.175.337.299;2.007.073.987
Latvia;1999;-250.615;2.075.135.031;1.977.583.706
Latvia;2000;-312.045;2.003.752.763;1.919.623.424
Latvia;2001;527.644;1.992.904.067;199.339.522
Latvia;2002;539.264;204.845.537;1.996.387.017
Latvia;2003;557.747;2.053.866.674;1.918.488.813
Latvia;2004;5.565.676;2.024.767.978;2.019.970.609
Latvia;2005;5.639.892;2.021.029.281;2.049.492.405
Latvia;2006;-6.395.948;2.045.465.394;2.061.235.031
Latvia;2007;-6.188.036;2.034.501.506;2.116.067.657
Latvia;2008;-6.727.942;2.061.857.619;2.158.020.283
Latvia;2009;-7.416.268;2.019.423.731;216.629.291
Latvia;2010;-638.424;2.027.379.844;2.191.505.536
Latvia;2011;-724.911;2.025.673.494;221.249.048
Latvia;2012;-824.468;2.030.527.144;2.284.505.424
Lebanon;1990;5.907.008;1.076.703.896;0.398517359
Lebanon;1991;7.327.008;1.127.933.031;0.413442703
Lebanon;1992;7.637.456;1.165.842.166;0.434908047
Lebanon;1993;11.634.912;1.202.411.301;0.471053391
Lebanon;1994;12.878.416;1.239.250.436;0.432258735
Lebanon;1995;14.612.384;1.265.869.571;0.52486408
Lebanon;1996;15.224.064;1.401.795.253;0.51856123
Lebanon;1997;16.678.352;1.518.020.935;0.528568381
Lebanon;1998;16.682.464;1.640.756.617;0.547405532
Lebanon;1999;17.172.016;1.762.152.298;0.542062683
Lebanon;2000;15.519.648;187.684.798;0.554359834
Lebanon;2001;16.695.752;1.882.593.558;0.59236533
Lebanon;2002;16.627.342;1.897.969.136;0.537980825
Lebanon;2003;1.701.754;1.909.534.715;0.525966321
Lebanon;2004;17.406.602;1.915.120.293;0.544001816
Lebanon;2005;16.719.104;1.931.825.871;0.488447312
Lebanon;2006;1.526.927;195.632.002;0.488030267
Lebanon;2007;13.929.668;196.808.417;0.522543222
Lebanon;2008;17.899.842;1.994.688.319;0.549446177
Lebanon;2009;21.732.214;2.012.592.468;0.573469132
Lebanon;2010;20.877.044;2.015.706.618;0.590892088
Lebanon;2011;21.182.562;2.058.578.634;0.641363814
Lebanon;2012;2.098.184;207.036.065;0.65959554
Lesotho;1990;0.16064;1.021.427.136;0.670701024
Lesotho;1991;0.11964;1.038.787.352;0.659905356
Lesotho;1992;0.12519;1.134.677.567;0.715809689
Lesotho;1993;0.12519;1.122.617.782;0.711104021
Lesotho;1994;0.14298;1.109.927.997;0.701688354
Lesotho;1995;0.1428;1.087.318.213;0.671202686
Lesotho;1996;0.14324;1.034.307.981;0.6482132
Lesotho;1997;0.14274;1.017.117.748;0.633723714
Lesotho;1998;0.1457;1.017.337.516;0.620644228
Lesotho;1999;0.14565;1.237.397.284;0.805754742
Lesotho;2000;0.17542;1.179.757.052;0.779355257
Lesotho;2001;0.16764;1.230.133.376;0.860486907
Lesotho;2002;0.1676;1.078.779.701;0.669868558
Lesotho;2003;0.1675;1.164.386.025;0.771750209
Lesotho;2004;0.16795;107.021.235;0.665881859
Lesotho;2005;0.18306;1.187.248.674;0.79011351
Lesotho;2006;0.19807;1.095.710.783;0.71300673
Lesotho;2007;0.20202;1.179.792.892;0.812679949
Lesotho;2008;0.20331;1.108.315;0.696563169
Lesotho;2009;0.19822;1.116.687.109;0.701446389
Lesotho;2010;0.51609;1.146.159.218;0.747239608
Lesotho;2011;0.41199;1.100.846.305;0.677837194
Lesotho;2012;0.23368;1.115.123.393;0.685304779
Liberia;1990;15.479.978;0.575561406;0.184010389
Liberia;1991;15.280.702;0.547811741;0.167987451
Liberia;1992;15.284.346;0.542572076;0.168624513
Liberia;1993;15.317.312;0.51812241;0.158391575
Liberia;1994;15.313.628;0.506592745;0.155558637
Liberia;1995;15.328.274;0.500753079;0.156275699
Liberia;1996;15.339.246;0.519936224;0.15985066
Liberia;1997;15.350.228;0.543829369;0.167975621
Liberia;1998;15.383.184;0.578082514;0.178780582
Liberia;1999;15.401.494;0.585105659;0.175185543
Liberia;2000;15.430.786;0.596638804;0.177710505
Liberia;2001;15.496.848;0.596245985;0.171083583
Liberia;2002;15.496.828;0.601993166;0.166966661
Liberia;2003;1.552.612;0.632380347;0.175209739
Liberia;2004;15.621.374;0.632027528;0.171032817
Liberia;2005;15.734.938;0.669184708;0.184645895
Liberia;2006;15.753.328;0.680026073;0.18779809
Liberia;2007;156.727;0.709797438;0.202610286
Liberia;2008;15.570.088;0.768578802;0.230812481
Liberia;2009;15.522.436;0.953470167;0.311644677
Liberia;2010;15.797.226;0.826771532;0.258446872
Liberia;2011;15.885.142;0.846399048;0.265651756
Liberia;2012;1.553.634;0.967146564;0.31121664
Libya;1990;37.818.868;5.643.480.715;112.200.495
Libya;1991;35.298.738;566.001.397;1.113.634.622
Libya;1992;32.459.832;5.674.412.225;1.032.054.295
Libya;1993;32.926.282;568.935.848;1.054.473.968
Libya;1994;38.196.688;5.706.068.736;0.996103641
Libya;1995;39.961.608;5.726.753.991;1.067.193.314
Libya;1996;42.044.802;5.763.347.386;1.016.801.628
Libya;1997;41.614.662;578.857.578;0.992589942
Libya;1998;42.596.412;5.826.968.175;1.075.998.255
Libya;1999;41.131.552;584.955.157;1.157.136.569
Libya;2000;42.906.432;5.870.473.965;1.001.264.883
Libya;2001;44.570.782;6.094.963.498;0.966159746
Libya;2002;46.352.796;6.316.598.031;134.231.461
Libya;2003;46.949.434;6.544.402.564;1.130.129.473
Libya;2004;483.538;6.772.841.097;1.296.794.337
Libya;2005;51.655.528;6.998.838.629;15.335.492
Libya;2006;52.166.904;7.204.872.156;1.359.532.957
Libya;2007;48.843.352;7.406.726.683;1.633.856.713
Libya;2008;54.132.106;760.292.821;1.471.080.469
Libya;2009;58.122.506;7.802.643.736;1.466.814.225
Libya;2010;60.227.084;8.003.468.263;1.273.997.982
Libya;2011;39.104.072;7.872.996.858;1.557.941.666
Libya;2012;5.115.584;7.742.419.454;1.582.975.351
Lithuania;1990;;;
Lithuania;1991;;;
Lithuania;1992;26.885.096;5.894.756.887;4.808.193.604
Lithuania;1993;18.350.974;4.936.737.125;4.133.965.386
Lithuania;1994;1.747.184;4.382.467.363;3.842.717.167
Lithuania;1995;16.670.642;3.971.537.601;3.619.218.949
Lithuania;1996;1.726.864;3.853.120.588;404.322.749
Lithuania;1997;16.859.268;3.854.723.576;4.225.266.031
Lithuania;1998;17.677.858;3.814.126.564;4.379.754.573
Lithuania;1999;15.238.294;3.677.519.551;4.517.243.114
Lithuania;2000;13.567.342;3.578.452.539;4.706.111.655
Lithuania;2001;14.765.718;3.330.613.678;4.788.136.708
Lithuania;2002;14.882.378;3.355.764.818;441.498.176
Lithuania;2003;14.915.924;3.396.455.957;4.753.506.813
Lithuania;2004;15.620.248;3.456.247.097;5.024.871.866
Lithuania;2005;16.506.112;3.426.668.236;4.858.826.918
Lithuania;2006;1.923.047;3.440.397.305;4.676.747.225
Lithuania;2007;2.008.966;3.487.496.373;4.225.587.531
Lithuania;2008;19.892.564;3.415.145.442;4.056.547.838
Lithuania;2009;17.853.456;3.358.184.511;3.876.918.144
Lithuania;2010;18.871.252;3.345.263.579;3.849.428.451
Lithuania;2011;18.836.972;3.325.585.877;3.530.715.314
Lithuania;2012;18.892.962;3.285.388.175;3.692.142.176
Luxembourg;1990;;;
Luxembourg;1991;;;
Luxembourg;1992;;;
Luxembourg;1993;;;
Luxembourg;1994;;;
Luxembourg;1995;;;
Luxembourg;1996;;;
Luxembourg;1997;;;
Luxembourg;1998;;;
Luxembourg;1999;;;
Luxembourg;2000;8.377.368;0.474969074;0.246270387
Luxembourg;2001;8.986.376;0.475233845;0.252481299
Luxembourg;2002;9.646.376;0.464888616;0.424962211
Luxembourg;2003;10.119.048;0.454893388;0.343323123
Luxembourg;2004;11.539.352;0.451238159;0.371664035
Luxembourg;2005;11.761.032;0.45078293;0.363654947
Luxembourg;2006;11.644.312;0.445239329;0.356560037
Luxembourg;2007;11.152.248;0.455505729;0.350765128
Luxembourg;2008;11.095.642;0.460652128;0.351070218
Luxembourg;2009;10.491.944;0.461458527;0.347255308
Luxembourg;2010;11.102.248;0.465414926;0.343070398
Luxembourg;2011;1.098.324;0.457968336;0.349468435
Luxembourg;2012;1.022.364;0.452791745;0.396766472
FYR Macedonia;1990;;;
FYR Macedonia;1991;;;
FYR Macedonia;1992;847.648;2.035.756.429;0.763155241
FYR Macedonia;1993;8.014.932;2.047.106.841;0.755268577
FYR Macedonia;1994;7.731.234;2.044.647.253;0.999491912
FYR Macedonia;1995;7.703.184;2.042.367.665;0.921585248
FYR Macedonia;1996;9.232.158;2.041.789.116;0.915689705
FYR Macedonia;1997;8.179.452;2.017.130.567;0.848524162
FYR Macedonia;1998;9.014.762;1.956.132.018;0.797658619
FYR Macedonia;1999;8.287.704;1.893.423.468;0.743133077
FYR Macedonia;2000;798.433;1.933.634.919;0.716277534
FYR Macedonia;2001;10.075.944;1.881.389.022;0.641825343
FYR Macedonia;2002;9.555.618;1.853.923.124;0.610943153
FYR Macedonia;2003;10.320.556;1.853.057.226;0.619350963
FYR Macedonia;2004;10.057.558;1.879.951.329;0.670538773
FYR Macedonia;2005;10.491.494;1.839.145.431;0.658886583
FYR Macedonia;2006;9.217.584;1.859.691.664;0.654265393
FYR Macedonia;2007;9.678.206;1.867.017.896;0.644454203
FYR Macedonia;2008;946.319;1.827.894.129;0.607793014
FYR Macedonia;2009;8.859.146;1.794.880.362;0.595841824
FYR Macedonia;2010;8.644.808;1.825.596.595;0.607440634
FYR Macedonia;2011;9.781.382;1.849.120.359;0.60489324
FYR Macedonia;2012;872.369;1.823.094.124;0.578555847
Madagascar;1990;38.159.956;1.429.561.416;8.484.739.838
Madagascar;1991;36.153.358;1.427.090.816;8.503.462.324
Madagascar;1992;3.608.637;1.447.102.216;854.117.481
Madagascar;1993;36.070.678;1.474.222.616;8.596.177.296
Madagascar;1994;362.785;1.448.209.016;8.602.149.782
Madagascar;1995;36.229.832;1.459.565.417;8.656.122.268
Madagascar;1996;3.630.762;1.485.389.217;8.822.972.823
Madagascar;1997;36.486.426;1.467.473.017;8.497.213.377
Madagascar;1998;3.657.855;1.519.021.818;8.813.083.932
Madagascar;1999;3.666.275;1.509.756.618;8.553.014.486
Madagascar;2000;3.644.614;1.448.790.418;799.822.504
Madagascar;2001;25.349.116;1.390.328.655;7.720.304.642
Madagascar;2002;24.596.458;1.279.803.893;6.875.364.244
Madagascar;2003;25.160.146;138.355.213;8.113.993.846
Madagascar;2004;25.449.212;1.311.573.367;7.084.673.449
Madagascar;2005;2.555.351;1.500.420.604;8.846.503.051
Madagascar;2006;31.835.106;1.450.720.427;818.879.946
Madagascar;2007;31.952.656;1.521.116.249;8.899.885.869
Madagascar;2008;31.974.398;1.457.892.072;8.210.592.279
Madagascar;2009;32.171.098;1.601.283.894;8.604.928.688
Madagascar;2010;32.180.516;1.649.457.717;8.624.875.097
Madagascar;2011;32.587.152;1.608.916.393;872.720.107
Madagascar;2012;3.292.297;161.169.407;8.564.157.043
Malawi;1990;7.509.288;709.255;1.527.655.909
Malawi;1991;640.071;6.541.137.292;1.645.202.059
Malawi;1992;640.482;5.990.934.583;1.652.748.208
Malawi;1993;6.441.906;5.458.461.875;1.683.944.358
Malawi;1994;6.471.664;4.837.399.167;1.346.340.508
Malawi;1995;6.483.112;4.308.036.459;1.531.106.657
Malawi;1996;6.482.106;4.388.156.688;1.690.730.133
Malawi;1997;6.536.128;4.122.496.918;1.644.003.608
Malawi;1998;660.716;4.180.747.148;1.723.287.083
Malawi;1999;6.760.318;4.072.987.378;1.702.180.558
Malawi;2000;6.723.212;3.985.187.607;1.758.824.033
Malawi;2001;7.391.924;3.925.631.848;1.600.133.994
Malawi;2002;7.380.274;3.901.746.088;1.867.613.956
Malawi;2003;7.501.124;4.188.310.328;2.134.423.918
Malawi;2004;7.470.294;3.922.814.568;208.579.388
Malawi;2005;738.826;4.237.608.809;2.244.093.842
Malawi;2006;6.686.264;400.409.578;2.312.369.169
Malawi;2007;668.021;421.845.275;2.545.194.496
Malawi;2008;6.898.222;4.494.619.721;2.817.759.822
Malawi;2009;6.790.972;4.487.786.692;2.736.885.149
Malawi;2010;6.963.314;4.991.183.663;3.272.510.476
Malawi;2011;6.990.166;4.907.715.272;3.233.423.682
Malawi;2012;767.736;521.843.688;3.687.036.889
Malaysia;1990;-18.731.085;4.029.028.079;7.693.808.625
Malaysia;1991;-176.692.058;4.158.741.762;7.789.630.471
Malaysia;1992;-168.067.388;4.282.127.445;8.109.532.316
Malaysia;1993;-161.928.926;4.410.515.128;8.203.944.161
Malaysia;1994;-15.453.835;454.287.581;8.175.936.007
Malaysia;1995;-142.179.992;4.655.086.493;8.252.977.852
Malaysia;1996;-131.257.124;4.780.043.865;799.858.705
Malaysia;1997;-121.536.788;4.941.731.237;8.644.366.248
Malaysia;1998;-118.642.914;5.401.145.608;1.039.829.545
Malaysia;1999;-110.689.464;519.298.798;8.724.664.643
Malaysia;2000;-98.479.122;5.338.458.351;8.696.363.841
Malaysia;2001;31.375.786;5.414.908.267;8.674.108.721
Malaysia;2002;32.257.627;5.548.519.182;95.644.436
Malaysia;2003;32.940.457;5.636.139.097;954.240.848
Malaysia;2004;341.241.826;5.764.117.013;1.063.385.336
Malaysia;2005;350.567.706;5.869.659.928;1.116.552.824
Malaysia;2006;324.451.668;5.892.843.617;1.077.275.607
Malaysia;2007;338.785.176;5.985.308.307;115.266.739
Malaysia;2008;35.082.053;6.041.421.996;1.290.670.172
Malaysia;2009;332.585.274;6.171.579.685;1.345.405.955
Malaysia;2010;345.279.032;6.216.494.375;1.358.171.738
Malaysia;2011;349.991.878;6.298.850.632;1.248.428.758
Malaysia;2012;3.528.484.432;640.369.089;1.100.598.778
Maldives;1990;0.153258;;
Maldives;1991;0.171578;;
Maldives;1992;0.252186;;
Maldives;1993;0.215546;;
Maldives;1994;0.21921;;
Maldives;1995;0.27417;;
Maldives;1996;0.318138;;
Maldives;1997;0.36577;;
Maldives;1998;0.332794;;
Maldives;1999;0.464698;;
Maldives;2000;0.497674;;
Maldives;2001;0.577028;;
Maldives;2002;0.690612;;
Maldives;2003;0.599012;;
Maldives;2004;0.778548;;
Maldives;2005;0.701604;;
Maldives;2006;0.888738;;
Maldives;2007;0.91805;;
Maldives;2008;100.965;;
Maldives;2009;1.068.274;;
Maldives;2010;1.075.602;;
Maldives;2011;1.104.914;;
Maldives;2012;112.477;;
Mali;1990;739.847;8.955.843.492;7.527.065.136
Mali;1991;6.977.306;8.927.585.135;7.497.675.383
Mali;1992;6.984.644;8.938.486.779;7.515.665.631
Mali;1993;6.995.646;9.034.938.423;7.601.275.878
Mali;1994;7.002.984;9.181.420.066;7.663.346.125
Mali;1995;7.010.322;937.963.171;7.758.156.372
Mali;1996;7.028.652;9.117.757.674;7.428.595.582
Mali;1997;7.065.302;9.518.153.637;7.662.464.792
Mali;1998;7.303.472;118.070.296;8.893.094.002
Mali;1999;7.336.458;1.208.934.556;9.379.813.212
Mali;2000;7.362.116;1.115.544.153;8.961.302.421
Mali;2001;7.369.194;1.176.370.984;9.591.631.028
Mali;2002;7.387.624;1.150.314.815;9.067.309.635
Mali;2003;738.407;1.127.410.646;8.934.408.242
Mali;2004;7.417.166;1.277.855.477;1.136.641.685
Mali;2005;743.926;1.290.670.308;1.065.345.545
Mali;2006;7.483.118;1.292.142.829;1.094.607.435
Mali;2007;754.899;1.332.259.349;1.106.910.325
Mali;2008;7.611.188;1.454.030.869;1.198.467.215
Mali;2009;7.688.042;1.456.339.389;1.124.936.104
Mali;2010;7.775.888;1.484.462.909;1.215.907.994
Mali;2011;7.790.454;1.566.839.644;1.251.222.611
Mali;2012;731.487;1.543.166.378;1.247.107.228
Malta;1990;2.29;0.196993571;0.051932295
Malta;1991;2.18;0.206329031;0.052935105
Malta;1992;2.14;0.214524491;0.056887915
Malta;1993;2.77;0.221239951;0.055860725
Malta;1994;2.48;0.226815411;0.055803535
Malta;1995;2.35;0.227500871;0.054506345
Malta;1996;2.3;0.229640802;0.053956578
Malta;1997;2.44;0.236220734;0.054816812
Malta;1998;2.36;0.237560666;0.054887046
Malta;1999;2.39;0.242630598;0.050657279
Malta;2000;2.11;0.24389053;0.049977513
Malta;2001;2.46;0.243870646;0.050842692
Malta;2002;2.29;0.247440763;0.050657871
Malta;2003;2.58;0.252160879;0.05155305
Malta;2004;2.58;0.252870996;0.050618228
Malta;2005;2.71;0.261431112;0.051283407
Malta;2006;2.58;0.268150444;0.053564899
Malta;2007;2.73;0.273919775;0.05116639
Malta;2008;2.57;0.281779107;0.050497882
Malta;2009;2.45;0.275628438;0.047789374
Malta;2010;2.47;0.27899777;0.046810865
Malta;2011;2.47;0.27202613;0.044695159
Malta;2012;2.52;0.274134491;0.055709453
Mauritania;1990;3.886.358;3.406.625.404;1.949.483.656
Mauritania;1991;385.286;3.522.026.356;2.020.122.161
Mauritania;1992;4.042.298;3.445.187.308;1.931.600.667
Mauritania;1993;4.059.528;3.558.638.261;1.965.849.172
Mauritania;1994;421.599;3.487.639.213;1.925.477.677
Mauritania;1995;4.064.676;3.502.590.165;1.935.956.183
Mauritania;1996;4.070.914;3.670.400.212;2.121.767.546
Mauritania;1997;4.055.168;3.837.100.259;219.107.891
Mauritania;1998;215.979;3.987.750.306;2.354.290.273
Mauritania;1999;2.228.316;4.215.030.353;2.528.991.637
Mauritania;2000;226.753;43.778.504;2.727.043
Mauritania;2001;238.257;4.457.570.101;2.777.569.541
Mauritania;2002;2.452.096;4.478.949.802;2.652.016.083
Mauritania;2003;2.488.656;4.568.019.503;2.679.762.624
Mauritania;2004;2.635.126;4.716.509.204;2.823.169.165
Mauritania;2005;2.686.332;4.768.048.905;2.822.465.707
Mauritania;2006;2.118.986;4.779.377.561;2.820.512.147
Mauritania;2007;2.354.962;4.840.176.217;2.869.858.587
Mauritania;2008;2.448.042;4.561.174.872;2.563.365.027
Mauritania;2009;2.643.714;4.972.863.528;2.815.591.467
Mauritania;2010;2.652.522;5.275.472.183;2.936.597.907
Mauritania;2011;282.621;5.276.243.218;2.812.759.373
Mauritania;2012;292.764;5.360.414.253;2.853.720.839
Mauritius;1990;115.511;0.733456698;0.238358799
Mauritius;1991;124.511;0.738893488;0.239938927
Mauritius;1992;131.511;0.747540279;0.244859054
Mauritius;1993;14.551;0.756297069;0.240489182
Mauritius;1994;15.051;0.764463859;0.256779309
Mauritius;1995;15.351;0.77253065;0.263439437
Mauritius;1996;16.051;0.85475868;0.273781949
Mauritius;1997;16.151;0.93503671;0.269444462
Mauritius;1998;17.751;101.837.474;0.275526975
Mauritius;1999;21.751;110.316.277;0.292489487
Mauritius;2000;240.509;11.848.308;0.299012
Mauritius;2001;271.247;119.424.574;0.264787803
Mauritius;2002;276.242;121.119.068;0.282913606
Mauritius;2003;289.238;123.064.562;0.281039409
Mauritius;2004;291.233;124.863.056;0.278565212
Mauritius;2005;310.229;12.664.555;0.274811015
Mauritius;2006;325.999;1.288.675.981;0.269689877
Mauritius;2007;334.999;1.311.626.462;0.280538739
Mauritius;2008;3.42;1.334.506.943;0.274567601
Mauritius;2009;3.37;1.356.747.424;0.274326463
Mauritius;2010;361.001;1.379.947.905;0.268505325
Mauritius;2011;360.001;1.389.883.793;0.288962042
Mauritius;2012;369.002;1.400.689.682;0.300688759
Mexico;1990;316.488.678;115.985.323;392.580.784
Mexico;1991;329.446.136;1.192.492.155;3.793.576.511
Mexico;1992;332.759.074;121.834.758;3.829.713.182
Mexico;1993;333.509.382;1.263.975.606;3.842.990.852
Mexico;1994;355.582.456;1.304.876.431;3.846.053.523
Mexico;1995;34.053.493;1.338.692.556;3.768.277.194
Mexico;1996;35.889.783;1.356.596.986;3.817.054.467
Mexico;1997;374.414.198;1.409.833.916;386.531.174
Mexico;1998;394.435.402;1.504.746.947;4.225.897.014
Mexico;1999;38.763.659;1.498.757.277;4.036.763.287
Mexico;2000;404.405.946;1.538.404.307;409.936.156
Mexico;2001;399.748.528;1.574.220.636;4.139.310.953
Mexico;2002;405.035.096;1.655.077.066;3.973.149.346
Mexico;2003;411.360.276;1.749.830.695;4.246.406.739
Mexico;2004;414.942.186;1.789.149.424;4.274.723.132
Mexico;2005;433.486.312;1.873.014.654;4.671.300.525
Mexico;2006;444.342.946;1.875.353.948;4.614.899.406
Mexico;2007;463.704.744;1.885.875.842;4.754.392.287
Mexico;2008;470.959.224;1.896.922.636;4.721.114.169
Mexico;2009;454.155.878;191.371.863;485.822.305
Mexico;2010;467.144.018;1.914.034.224;5.105.977.931
Mexico;2011;480.985.196;194.115.375;5.324.380.044
Mexico;2012;4.845.445.342;1.910.316.076;5.124.795.157
Moldova;1990;;;
Moldova;1991;;;
Moldova;1992;2.015.419;4.747.333.266;17.404.516
Moldova;1993;15.678.516;4.666.124.384;170.715.317
Moldova;1994;1.248.162;4.535.635.502;152.580.474
Moldova;1995;10.605.018;4.380.146.619;151.647.631
Moldova;1996;892.376;4.162.629.276;1.400.468.488
Moldova;1997;8.083.798;4.000.981.932;1.099.420.666
Moldova;1998;717.422;3.740.464.588;0.933812844
Moldova;1999;5.879.308;3.549.187.244;0.834745022
Moldova;2000;535.965;34.254.399;0.7937172
Moldova;2001;5.904.698;329.329.382;0.970721096
Moldova;2002;6.120.524;332.212.774;0.885134992
Moldova;2003;671.308;331.184.166;0.822098888
Moldova;2004;683.921;319.472.558;0.901442784
Moldova;2005;7.212.668;30.767.495;0.88906668
Moldova;2006;7.022.176;3.076.293.432;0.852694999
Moldova;2007;6.879.836;3.084.787.364;0.810443317
Moldova;2008;6.830.178;2.940.201.296;0.873161636
Moldova;2009;680.051;2.958.265.228;0.776239955
Moldova;2010;7.485.428;302.028.916;0.832628273
Moldova;2011;7.481.408;3.042.493.938;0.901592517
Moldova;2012;678.039;3.002.538.715;0.83707676
Mongolia;1990;398.585;7.963.877.946;7.604.293.222
